Generation,Experiment,Original_environment,Population,Date_P,Date_C_O,Date_C_A,Row,Column,Rack,Test_environment,Nb_eggs,Obs_O,Nb_adults,Obs_A
G0,Plasticity,WT3,WT3,18/09/2018,19/09/2018,4/10/18,L1,C1,1,Strawberry,41,LO,2,LO
G0,Plasticity,WT3,WT3,18/09/2018,19/09/2018,4/10/18,L1,C2,1,Blackberry,85,LO,32,LO
G0,Plasticity,WT3,WT3,18/09/2018,19/09/2018,4/10/18,L1,C3,1,GF,63,LO,14,LO
G0,Plasticity,WT3,WT3,18/09/2018,19/09/2018,4/10/18,L1,C4,1,Cherry,77,LO,28,LO
G0,Plasticity,WT3,WT3,18/09/2018,19/09/2018,4/10/18,L1,C5,1,Grape,38,LO,19,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L1,C1,1,Blackberry,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L1,C2,1,GF,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L1,C3,1,Cherry,3,LO,2,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L1,C4,1,Grape,1,LO,2,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L1,C5,1,Strawberry,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L1,C6,1,GF,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L1,C7,1,Strawberry,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L1,C8,1,Blackberry,1,LO,2,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L1,C9,1,Cherry,2,LO,1,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L1,C10,1,Grape,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L2,C1,1,Blackberry,1,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L2,C2,1,GF,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L2,C3,1,Cherry,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L2,C4,1,Grape,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L2,C5,1,Strawberry,2,LO,2,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L2,C6,1,GF,0,LO,2,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L2,C7,1,Strawberry,0,LO,3,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L2,C8,1,Blackberry,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L2,C9,1,Cherry,1,LO,1,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L2,C10,1,Grape,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L3,C1,1,Blackberry,1,LO,3,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L3,C2,1,GF,1,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L3,C3,1,Cherry,2,LO,4,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L3,C4,1,Grape,2,LO,6,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L3,C5,1,Strawberry,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L3,C6,1,GF,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L3,C7,1,Strawberry,1,LO,3,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L3,C8,1,Blackberry,2,LO,2,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L3,C9,1,Cherry,1,LO,3,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L3,C10,1,Grape,0,LO,0,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L4,C1,1,Blackberry,2,LO,1,LO
G0,Plasticity,Blackberry,Blackberry45,3/10/2018,4/10/18,19/10/2018,L4,C2,1,GF,0,LO,0,LO
