Generation,Experiment,BoxID,Date_P,Original_environment,Population,Line,Column,Test_environment,Nb_eggs,Date_C_O,Obs_O
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,1,1,Cranberry,0,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,1,2,Fig,0,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,1,3,Raspberry,0,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,1,4,Rosehips,0,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,2,1,Kiwi,0,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,2,2,Strawberry,1,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,2,3,Tomato,0,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,2,4,Apricot,0,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,3,1,Blackberry,0,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,3,2,Grape,0,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,3,3,Cherry,0,13/12/2018,CD
G0,Plasticity,860,19/09/2018,Blackberry,Blackberry33,3,4,Blackcurrant,0,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,1,1,Apricot,1,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,1,2,Grape,0,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,1,3,Cherry,0,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,1,4,Strawberry,0,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,2,1,Kiwi,0,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,2,2,Tomato,0,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,2,3,Fig,0,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,2,4,Blackberry,0,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,3,1,Blackcurrant,0,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,3,2,Raspberry,1,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,3,3,Rosehips,0,13/12/2018,CD
G0,Plasticity,884,19/09/2018,Blackberry,Blackberry33,3,4,Cranberry,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,1,1,Cranberry,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,1,2,Apricot,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,1,3,Raspberry,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,1,4,Blackberry,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,2,1,Kiwi,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,2,2,Cherry,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,2,3,Fig,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,2,4,Strawberry,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,3,1,Blackcurrant,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,3,2,Tomato,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,3,3,Grape,0,13/12/2018,CD
G0,Plasticity,885,19/09/2018,Blackberry,Blackberry33,3,4,Rosehips,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,1,1,Grape,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,1,2,Fig,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,1,3,Cranberry,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,1,4,Blackcurrant,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,2,1,Tomato,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,2,2,Strawberry,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,2,3,Raspberry,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,2,4,Cherry,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,3,1,Kiwi,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,3,2,Apricot,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,3,3,Blackberry,0,13/12/2018,CD
G0,Plasticity,886,19/09/2018,Blackberry,Blackberry33,3,4,Rosehips,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,1,1,Rosehips,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,1,2,Apricot,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,1,3,Raspberry,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,1,4,Grape,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,2,1,Strawberry,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,2,2,Kiwi,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,2,3,Cranberry,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,2,4,Cherry,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,3,1,Blackcurrant,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,3,2,Fig,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,3,3,Blackberry,0,13/12/2018,CD
G0,Plasticity,887,19/09/2018,Blackberry,Blackberry33,3,4,Tomato,1,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,1,1,Cherry,0,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,1,2,Kiwi,0,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,1,3,Raspberry,0,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,1,4,Rosehips,0,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,2,1,Tomato,0,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,2,2,Apricot,1,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,2,3,Cranberry,0,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,2,4,Blackberry,0,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,3,1,Blackcurrant,0,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,3,2,Grape,0,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,3,3,Fig,0,13/12/2018,CD
G0,Plasticity,888,19/09/2018,Blackberry,Blackberry33,3,4,Strawberry,0,13/12/2018,CD
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,1,1,Rosehips,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,1,2,Strawberry,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,1,3,Tomato,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,1,4,Cranberry,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,2,1,Blackberry,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,2,2,Raspberry,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,2,3,Grape,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,2,4,Kiwi,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,3,1,Blackcurrant,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,3,2,Cherry,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,3,3,Fig,0,12/6/18,PA
G0,Plasticity,889,19/09/2018,Blackberry,Blackberry33,3,4,Apricot,0,12/6/18,PA
G0,Plasticity,951,24/09/2018,Blackberry,Blackberry35,1,1,Cherry,0,12/12/18,CD
