Fruit population,Code population,Name population,City ,lat,lon,Sampling date
Cherry,MTP1,Cherry50,Montpellier,43.626598,3.863535,5/14/18
Cherry,AVG1,Cherry51,Avignon,43.956177,4.838228,5/23/18
Cherry,SQP,Cherry52,Saint-Quentin-la-Poterie,44.053988,4.433953,5/28/18
Cherry,CRT1,Cherry3,Ceret,42.503621,2.747655,6/1/18
Cherry,LBL,Cherry6,Le Boulou,42.521786,2.842217,6/1/18
Cherry,CRT2,Cherry7,Ceret,42.498589,2.752859,6/1/18
Cherry,SCR1,Cherry47,Saint-Clement-de-Riviere,43.703934,3.855531,6/6/18
Cherry,BDX,Cherry103,Bedarieux,43.602079,3.129426,6/22/18
Cherry,TLB,Cherry104,Taussac-la-Billière,43.622699,3.090652,6/22/18
Strawberry,BCR,Strawberry53,Beaucaire,43.784667,4.544464,6/8/18
Strawberry,CND,Strawberry44,Candillargues,43.628055,4.0575,6/14/18
Strawberry,AVG2,Strawberry42,Avignon,43.926049,4.840473,7/12/18
Blackberry,MGO,Blackberry32,Maugio,43.609988,3.994697,8/28/18
Blackberry,SCR2,Blackberry33,Saint-Clement-de-Riviere,43.693692,3.838453,8/29/18
Blackberry,MTP2,Blackberry34,Montpellier,43.647906,3.880657,8/29/18
Blackberry,ISS,Blackberry31,L’Isle-sur-la-Sorgue ,43.914261,5.079238,9/3/18
Blackberry,CRN,Blackberry35,Corneilhan,43.404636,3.201121,9/4/18
Blackberry,OVL,Blackberry36,Ouveillan,43.288458,2.958087,9/4/18
Blackberry,LDA,Blackberry37,Laroque-des-Albères,42.529681,2.930698,9/6/18
Blackberry,CRT3,Blackberry38,Ceret,42.503268,2.747621,9/6/18
Blackberry,LSR,Blackberry39,Le Soler,42.669927,2.788251,9/6/18
Blackberry,MSL,Blackberry40,Montferrier-sur-lez,43.668816,3.867852,9/8/18
Blackberry,SGF,Blackberry43,Saint-Gely-du-Fesc,43.669139,3.839824,9/11/18
Blackberry,BKZ,Blackberry45,Blauzac,43.953888,4.381957,9/12/18
Blackberry,LBS,Blackberry44,La Boissiere,43.667453,3.66027,9/13/18
